Wall time,Step,Value
1588414215.7717943,0,0.08939021080732346
1588414217.4037898,1,0.014010642655193806
1588414219.043792,2,0.009613992646336555
1588414220.6757941,3,0.006294548511505127
1588414222.2957895,4,0.0040508597157895565
1588414223.8797913,5,0.003114490071311593
1588414225.48779,6,0.0027860344853252172
1588414227.2557912,7,0.002579265972599387
1588414228.847793,8,0.0024078486021608114
1588414230.491789,9,0.0022590551525354385
1588414232.0917962,10,0.00213047256693244
1588414233.6837919,11,0.0020196018740534782
1588414235.291789,12,0.0019123557722195983
1588414236.8878174,13,0.0018153350101783872
1588414238.5437894,14,0.0017327670939266682
1588414240.5037901,15,0.0016498540062457323
1588414242.135792,16,0.0015827681636437774
1588414243.7317896,17,0.0015221891226246953
1588414245.3437972,18,0.0014704634668305516
1588414246.9477887,19,0.0014290749095380306
1588414248.55179,20,0.0013890746049582958
1588414250.17979,21,0.0013580687809735537
1588414251.7917929,22,0.0013257471146062016
1588414253.4357958,23,0.0012956527061760426
1588414255.0317905,24,0.001272864523343742
1588414256.6437979,25,0.001239678473211825
1588414258.275794,26,0.001212684903293848
1588414259.8757975,27,0.0011893690098077059
1588414261.52779,28,0.0011620480800047517
1588414263.1637902,29,0.0011414162581786513
1588414264.7877877,30,0.0011186031624674797
1588414266.4077897,31,0.0010964961256831884
1588414268.0237877,32,0.0010759725701063871
1588414269.8437903,33,0.0010630394099280238
1588414271.5037894,34,0.0010419681202620268
1588414273.1397893,35,0.0010224105790257454
1588414274.7837973,36,0.0010055132443085313
1588414276.8077917,37,0.0009904048638418317
1588414278.6077898,38,0.000978600000962615
1588414280.4077907,39,0.0009665474062785506
1588414282.0637906,40,0.0009504829067736864
1588414283.675797,41,0.0009340120013803244
1588414285.2757897,42,0.0009266638662666082
1588414286.875792,43,0.0009136451408267021
1588414288.4877892,44,0.0008959281840361655
1588414290.0917926,45,0.0008851811289787292
1588414291.751791,46,0.0008864079136401415
1588414293.3717878,47,0.0008728431421332061
1588414295.0029237,48,0.0008560014539398253
1588414296.6029239,49,0.0008521751733496785
1588414298.2269306,50,0.0008407089044339955
1588414300.0949242,51,0.0008307091775350273
1588414301.742922,52,0.0008270416874438524
1588414303.3589237,53,0.0008176621049642563
1588414304.9749317,54,0.0008173318346962333
1588414306.5749273,55,0.0008064263965934515
1588414308.194923,56,0.0008041940163820982
1588414309.8029277,57,0.0007918535266071558
1588414311.430929,58,0.0007892458233982325
1588414313.0509257,59,0.0007801020983606577
1588414314.674927,60,0.000777463021222502
1588414316.2949233,61,0.0007740666042082012
1588414317.9029238,62,0.000771678111050278
1588414319.5189247,63,0.0007630306063219905
1588414321.2229323,64,0.0007624003337696195
1588414323.066927,65,0.000753589381929487
1588414324.6749325,66,0.000748276652302593
1588414326.3269272,67,0.000746957550290972
1588414327.9509263,68,0.0007455802406184375
1588414329.7589252,69,0.0007402392802760005
1588414331.4429243,70,0.0007379697635769844
1588414333.0683556,71,0.0007361745811067522
1588414334.6923528,72,0.0007340374868363142
1588414336.3203623,73,0.000731509062461555
1588414337.9483583,74,0.0007288489141501486
1588414339.548356,75,0.0007266680477187037
1588414341.1763558,76,0.0007179355598054826
1588414342.792353,77,0.0007211781339719892
1588414344.4043553,78,0.0007148123113438487
1588414346.0203586,79,0.0007112581515684724
1588414347.640355,80,0.0007148000877350569
1588414349.2563553,81,0.0007105881813913584
1588414350.880356,82,0.0007112879538908601
1588414352.557769,83,0.0007117406348697841
1588414354.1737702,84,0.0007030738051980734
1588414355.7857778,85,0.0007045217207632959
1588414357.4097743,86,0.0007052107248455286
1588414359.069775,87,0.0006992107373662293
1588414360.853778,88,0.0006961421458981931
1588414362.5297692,89,0.0006939425365999341
1588414364.125772,90,0.0006931175012141466
1588414365.7377725,91,0.0006930275703780353
1588414367.3577774,92,0.0006906536873430014
1588414368.9697695,93,0.000691354158334434
1588414370.5857785,94,0.0006878766580484807
1588414372.253769,95,0.0006866314797662199
1588414373.896796,96,0.0006905167829245329
1588414375.6287932,97,0.0006824207957834005
1588414377.2328017,98,0.0006808580947108567
1588414378.8448024,99,0.0006819882546551526
1588414380.4807937,100,0.0006785683217458427
1588414382.0887935,101,0.0006815293454565108
1588414383.6967928,102,0.0006780733237974346
1588414385.2967925,103,0.0006797696696594357
1588414386.9127996,104,0.0006739128148183227
1588414388.5528018,105,0.0006796802044846117
1588414390.348795,106,0.0006732221227139235
1588414391.9967914,107,0.000670180656015873
1588414393.616795,108,0.0006746401777490973
1588414395.2328014,109,0.0006684913532808423
1588414396.836799,110,0.0006708675064146519
1588414398.4647944,111,0.0006708225118927658
1588414400.0727935,112,0.0006726356223225594
1588414401.7087927,113,0.0006665734108537436
1588414403.3247974,114,0.0006676014163531363
1588414404.9367936,115,0.0006692919414490461
1588414406.5447943,116,0.0006714150076732039
1588414408.1647935,117,0.0006659647333435714
1588414409.7887943,118,0.0006662711966782808
1588414411.410212,119,0.0006654433091171086
1588414413.030219,120,0.0006693588802590966
1588414414.6462119,121,0.00066852115560323
1588414416.2422123,122,0.0006646635592915118
1588414417.8582134,123,0.000662322505377233
1588414419.6382127,124,0.0006610028794966638
1588414421.2702198,125,0.000658844190184027
1588414422.8862104,126,0.0006626595859415829
1588414424.510214,127,0.0006620069616474211
1588414426.1382203,128,0.0006567347445525229
1588414427.7702165,129,0.0006581690977327526
1588414429.402223,130,0.000658460077829659
1588414431.0182123,131,0.0006598781328648329
1588414432.639646,132,0.0006660040817223489
1588414434.2596467,133,0.0006552458507940173
1588414436.0034745,134,0.0006560118636116385
1588414437.7194822,135,0.0006597440224140882
1588414439.3354747,136,0.0006590163102373481
1588414440.9714825,137,0.0006542556220665574
1588414442.5794742,138,0.000659747573081404
1588414444.275474,139,0.0006568976677954197
1588414445.991476,140,0.0006572254351340234
1588414447.6194777,141,0.0006534387939609587
1588414449.4074783,142,0.0006530013051815331
1588414451.055482,143,0.0006549952086061239
1588414452.6714816,144,0.0006559232715517282
1588414454.299474,145,0.0006520843016915023
1588414455.9114711,146,0.0006522821495309472
1588414457.5587583,147,0.000650387373752892
1588414459.1747584,148,0.0006518061854876578
1588414460.7907593,149,0.0006536638829857111
1588414462.4227564,150,0.0006483877659775317
1588414464.042757,151,0.0006521980394609272
1588414465.6547577,152,0.0006483671022579074
1588414467.2587566,153,0.0006530619575642049
1588414468.9107566,154,0.0006501374300569296
1588414470.5347564,155,0.0006498194998130202
1588414472.166759,156,0.0006504863267764449
1588414473.7747567,157,0.0006491927779279649
1588414475.3787544,158,0.0006550266989506781
1588414476.9827578,159,0.0006508438964374363
1588414478.6027656,160,0.0006482319440692663
1588414480.382757,161,0.0006508009391836822
1588414482.0147572,162,0.000646417960524559
1588414483.6947572,163,0.0006513312691822648
1588414485.3107572,164,0.0006468200590461493
1588414486.9187567,165,0.0006477291462942958
1588414488.5387573,166,0.0006438809214159846
1588414490.1547554,167,0.0006470844964496791
1588414491.7627566,168,0.000645374006126076
1588414493.3787608,169,0.0006484859040938318
1588414495.000134,170,0.0006453091045841575
1588414496.6041327,171,0.0006470107473433018
1588414498.2241328,172,0.0006463499157689512
1588414499.8441324,173,0.0006476318812929094
1588414501.5361404,174,0.0006454126560129225
1588414503.184133,175,0.0006491153035312891
1588414504.7921336,176,0.0006500352174043655
1588414506.4041333,177,0.0006446741172112525
1588414508.012141,178,0.0006480526644736528
1588414509.7961414,179,0.0006428323686122894
1588414511.4161332,180,0.0006427448242902756
1588414513.0041337,181,0.0006426657200790942
1588414514.6375659,182,0.0006491921376436949
1588414516.4655664,183,0.0006478919531218708
1588414518.3015654,184,0.00064467714400962
1588414520.3495665,185,0.0006479527219198644
1588414522.1375606,186,0.0006458905409090221
1588414523.753568,187,0.0006413281662389636
1588414525.3655624,188,0.0006419912679120898
1588414526.9855592,189,0.0006475751288235188
1588414528.5935657,190,0.0006393961375579238
1588414530.2015615,191,0.0006420899298973382
1588414531.8215618,192,0.0006491316016763449
1588414533.4295607,193,0.00064462871523574
1588414535.0647702,194,0.0006423612940125167
1588414536.6807778,195,0.0006411915528587997
1588414538.2927694,196,0.0006443338934332132
1588414540.06877,197,0.0006399911362677813
1588414541.6767752,198,0.0006417480763047934
1588414543.3207695,199,0.0006416638498194516
1588414544.936777,200,0.0006380740087479353
1588414546.56477,201,0.000639745790977031
1588414548.1807733,202,0.0006414006347768009
1588414549.8007705,203,0.0006469123181886971
1588414551.4327784,204,0.0006387827452272177
1588414553.040768,205,0.0006401519058272243
1588414554.6607687,206,0.0006387419998645782
1588414556.2927692,207,0.0006411620997823775
1588414557.9087694,208,0.000643209321424365
1588414559.520772,209,0.0006452499073930085
1588414561.1407685,210,0.0006390227354131639
1588414562.7367737,211,0.0006491711246781051
1588414564.3567712,212,0.0006416820106096566
1588414565.9727688,213,0.0006387594039551914
1588414567.5887775,214,0.0006409732741303742
1588414569.4030306,215,0.0006391431670635939
1588414571.0310388,216,0.0006426439504139125
1588414572.6430314,217,0.0006394084193743765
1588414574.2910314,218,0.000640966696664691
1588414575.9204812,219,0.0006419747951440513
1588414577.5484807,220,0.0006441163131967187
1588414579.1604805,221,0.0006392750074155629
1588414580.764483,222,0.0006436037947423756
1588414582.3724797,223,0.0006351592019200325
1588414583.988481,224,0.0006433040834963322
1588414585.59648,225,0.0006406771717593074
1588414587.212486,226,0.0006405641906894743
