Wall time,Step,Value
1591340151.8045232,0,0.33184584975242615
1591340152.3215227,1,0.10952363908290863
1591340152.8344917,2,0.019567720592021942
1591340153.3415275,3,0.012546627782285213
1591340153.8634923,4,0.009884475730359554
1591340154.3844917,5,0.007382255047559738
1591340154.9314916,6,0.005321896634995937
1591340155.4364934,7,0.003855881979689002
1591340155.9504917,8,0.00272097485139966
1591340156.470492,9,0.0019058221951127052
1591340156.9804935,10,0.001363717601634562
1591340157.4885256,11,0.0010185666615143418
1591340158.0095227,12,0.0008031087345443666
1591340158.524523,13,0.0006625407258979976
1591340159.0505252,14,0.000566371891181916
1591340159.5585134,15,0.0005002159741707146
1591340160.0794942,16,0.0004544318653643131
1591340160.6114926,17,0.0004234177467878908
1591340161.143491,18,0.000401995494030416
1591340161.6524918,19,0.0003875112161040306
1591340162.151491,20,0.0003776348603423685
1591340162.6694915,21,0.00037064007483422756
1591340163.177495,22,0.000365162908565253
1591340163.6894915,23,0.0003607085964176804
1591340164.1994915,24,0.00035469562862999737
1591340164.713492,25,0.00035114859929308295
1591340165.2344918,26,0.00034709906321950257
1591340165.7924914,27,0.0003426529874559492
1591340166.3104913,28,0.00033823904232122004
1591340166.8364925,29,0.0003337520465720445
1591340167.3424911,30,0.00032960291719064116
1591340167.8914917,31,0.00032431803992949426
1591340168.5844922,32,0.000319534883601591
1591340169.1034908,33,0.0003161616623401642
1591340169.6164947,34,0.00031002340256236494
1591340170.1264918,35,0.000304502114886418
1591340170.6595206,36,0.00029975257348269224
1591340171.184534,37,0.0002945335872936994
1591340171.709522,38,0.00028981728246435523
1591340172.420592,39,0.0002839722437784076
1591340172.9865918,40,0.00027872069040313363
1591340173.511595,41,0.0002734796144068241
1591340174.0335922,42,0.0002676161821000278
1591340174.5605927,43,0.0002627346257213503
1591340175.1105926,44,0.0002559552085585892
1591340175.6725929,45,0.0002523854491300881
1591340176.2105918,46,0.0002468908787705004
1591340176.8285923,47,0.00024031676002778113
1591340177.3446178,48,0.00023438379867002368
1591340177.9325917,49,0.00022973398154135793
1591340178.4555938,50,0.00022507086396217346
1591340178.9645915,51,0.00021994281269144267
1591340179.4795904,52,0.00021414736693259329
1591340179.998593,53,0.0002109472843585536
1591340180.5375912,54,0.00020678988948930055
1591340181.0725913,55,0.00020019950170535594
1591340181.6115916,56,0.00019655479991342872
1591340182.151591,57,0.00019232986960560083
1591340182.6655936,58,0.00018824604921974242
1591340183.198592,59,0.00018562929471954703
1591340183.7105932,60,0.00018080754671245813
1591340184.2285924,61,0.00017795302846934646
1591340184.7615924,62,0.00017383314843755215
1591340185.2975924,63,0.00017060099344234914
1591340185.8605933,64,0.00016881813644431531
1591340186.3995924,65,0.00016550178406760097
1591340186.927594,66,0.00016449402028229088
1591340187.4336233,67,0.00016198059893213212
1591340187.971591,68,0.0001582786935614422
1591340188.5005913,69,0.00015850376803427935
1591340189.0036235,70,0.0001546011189930141
1591340189.5335925,71,0.00015329962479881942
1591340190.062592,72,0.00015028750931378454
1591340190.5875921,73,0.00015113352856133133
1591340191.1185937,74,0.0001471321447752416
1591340191.6675923,75,0.00014621873560827225
1591340192.1876216,76,0.00014413513417821378
1591340192.7225924,77,0.00014368118718266487
1591340193.2485921,78,0.00014295405708253384
1591340193.756592,79,0.0001404913200531155
1591340194.2756252,80,0.0001403483038302511
1591340194.7935936,81,0.00013988098362460732
1591340195.3086216,82,0.00014081437257118523
1591340195.8216228,83,0.00013717671390622854
1591340196.3525937,84,0.00013898545876145363
1591340196.891592,85,0.000136146554723382
1591340197.4195926,86,0.00013525530812330544
1591340197.9375925,87,0.0001349915110040456
1591340198.442623,88,0.00013414202840067446
1591340198.9796224,89,0.00013379257870838046
1591340199.517593,90,0.000131331427837722
1591340200.0335934,91,0.000132983157527633
1591340200.5555913,92,0.0001302670279983431
1591340201.0586236,93,0.00013324632891453803
1591340201.5755913,94,0.00013024355575907975
1591340202.076594,95,0.00012858623813372105
1591340202.600593,96,0.0001272402296308428
1591340203.1216278,97,0.00012881842849310488
1591340203.6625922,98,0.0001266714243683964
1591340204.1686172,99,0.00012519044685177505
1591340204.685594,100,0.00012936351413372904
1591340205.1985946,101,0.00012617943866644055
1591340205.7165918,102,0.00012430288188625127
1591340206.223594,103,0.0001264629972865805
1591340206.7595925,104,0.00012359884567558765
1591340207.293592,105,0.00012136857549194247
1591340207.832623,106,0.00012455403339117765
1591340208.3545945,107,0.0001224470033776015
1591340208.8805923,108,0.00012244626122992486
1591340209.422592,109,0.00012169255933258682
1591340209.9696355,110,0.00011865603300975636
1591340210.6845927,111,0.00011946228914894164
1591340211.316591,112,0.00011830076255137101
1591340211.8296092,113,0.00011759576591430232
1591340212.335595,114,0.0001175995494122617
1591340212.8516252,115,0.00011795718455687165
1591340213.363625,116,0.00011605546751525253
1591340213.873593,117,0.0001164406567113474
1591340214.3796234,118,0.00011496509978314862
1591340214.9005935,119,0.0001159419771283865
1591340215.423592,120,0.00011626245395746082
1591340215.946626,121,0.00011360354983480647
1591340216.466594,122,0.00011304166400805116
1591340216.9805918,123,0.00011288235691608861
1591340217.4876242,124,0.00011274291318841279
1591340217.9995937,125,0.00011260293103987351
1591340218.5426214,126,0.00011468235607026145
1591340219.0405915,127,0.00011201633606106043
1591340219.552592,128,0.00011003194958902895
1591340220.0546231,129,0.00011134499072795734
1591340220.5995922,130,0.00010898750042542815
1591340221.1445925,131,0.00011121475108666345
1591340221.682592,132,0.00010940269567072392
1591340222.2005942,133,0.00011057414667448029
1591340222.7435932,134,0.00010928261326625943
1591340223.2785928,135,0.00010859814210562035
1591340223.8185933,136,0.00010816523717949167
1591340224.345593,137,0.00010643325367709622
1591340224.8836226,138,0.00010618205851642415
1591340225.404592,139,0.00010643748100847006
1591340225.9245925,140,0.00010646846203599125
1591340226.434624,141,0.00010888993710977957
1591340226.9426227,142,0.000105995153717231
1591340227.468593,143,0.0001053932573995553
1591340228.0035923,144,0.0001053601736202836
1591340228.5236235,145,0.00010436683078296483
1591340229.057619,146,0.00010409515380160883
1591340229.5896266,147,0.00010323012247681618
1591340230.1085918,148,0.000104434227978345
1591340230.6135936,149,0.00010504294914426282
1591340231.1416256,150,0.00010172196925850585
1591340231.6535907,151,0.00010210742038907483
1591340232.1775932,152,0.00010212822235189378
1591340232.6905913,153,0.00010085885151056573
1591340233.2005932,154,0.00010190935427090153
1591340233.7416227,155,0.00010329146607546136
1591340234.262623,156,0.00010114779433934018
1591340234.7955925,157,9.99575131572783e-05
1591340235.3126066,158,9.997880988521501e-05
1591340235.8236234,159,0.00010018104512710124
1591340236.3456216,160,0.00010119855141965672
1591340236.8635945,161,9.910362132359296e-05
1591340237.3905933,162,9.924292680807412e-05
1591340237.8995922,163,9.870133362710476e-05
1591340238.4276233,164,9.921153832692653e-05
1591340238.9475918,165,9.936147398548201e-05
1591340239.4615912,166,9.820063860388473e-05
1591340239.9825923,167,9.715228952700272e-05
1591340240.5036232,168,9.785762813407928e-05
1591340241.0165944,169,9.700930240796879e-05
1591340241.533595,170,9.765595314092934e-05
1591340242.086636,171,9.729167504701763e-05
1591340242.5895944,172,9.672623127698898e-05
1591340243.1026251,173,9.536693687550724e-05
1591340243.6385908,174,9.510812378721312e-05
1591340244.1695926,175,9.459222928853706e-05
1591340244.6866283,176,9.53772323555313e-05
1591340245.1966226,177,9.558060992276296e-05
1591340245.707621,178,9.438726556254551e-05
1591340246.222594,179,9.437848348170519e-05
1591340246.7495918,180,9.540497558191419e-05
1591340247.2645917,181,9.561288607073948e-05
1591340247.7755919,182,9.476598643232137e-05
1591340248.288623,183,9.396666428074241e-05
1591340248.8246365,184,9.422000584891066e-05
1591340249.3475943,185,9.498647705186158e-05
1591340249.8726199,186,9.380819392390549e-05
1591340250.394623,187,9.354142821393907e-05
1591340250.9015918,188,9.150537516688928e-05
1591340251.4435925,189,9.352470078738406e-05
1591340251.948594,190,9.250036964658648e-05
1591340252.4771059,191,9.56894364207983e-05
1591340252.979108,192,9.162177593680099e-05
1591340253.506105,193,9.135852451436222e-05
1591340254.0131366,194,9.164619405055419e-05
1591340254.5831058,195,9.262879757443443e-05
1591340255.0981321,196,9.130836406257004e-05
1591340256.1061063,197,9.259377839043736e-05
1591340256.6261053,198,8.997127588372678e-05
1591340257.151106,199,8.980590791907161e-05
1591340257.665106,200,9.054129623109475e-05
1591340258.1741078,201,8.922936103772372e-05
1591340258.6871073,202,9.225856774719432e-05
1591340259.1971083,203,8.967922622105107e-05
1591340259.716156,204,9.017861157190055e-05
1591340260.2201076,205,9.10648304852657e-05
1591340260.763106,206,8.897786756278947e-05
1591340261.2791393,207,8.907028677640483e-05
1591340261.829107,208,8.859553054207936e-05
1591340262.3321078,209,8.836354390950873e-05
1591340262.868106,210,8.852406608639285e-05
1591340263.4151058,211,8.980673010228202e-05
1591340263.9451053,212,8.81642772583291e-05
1591340264.4801064,213,8.858229557517916e-05
1591340265.016105,214,8.730839908821508e-05
1591340265.5431073,215,8.6789412307553e-05
1591340266.0781062,216,9.02748215594329e-05
1591340266.604106,217,8.898806845536456e-05
1591340267.1511064,218,8.710686233825982e-05
1591340267.6981049,219,8.625874033896253e-05
1591340268.2251391,220,8.617473940830678e-05
1591340268.743106,221,8.708174573257565e-05
1591340269.2521355,222,8.786816033534706e-05
1591340269.7611392,223,8.638135477667674e-05
1591340270.274105,224,8.575226092943922e-05
1591340270.806139,225,8.70162111823447e-05
1591340271.3211381,226,8.577685366617516e-05
1591340271.851105,227,8.656586578581482e-05
1591340272.378132,228,8.642330794828013e-05
1591340272.9021072,229,8.505587175022811e-05
1591340273.4221375,230,8.475303184241056e-05
1591340273.9311059,231,8.668843656778336e-05
1591340274.4461367,232,8.52036100695841e-05
1591340274.9591084,233,8.477856317767873e-05
1591340275.4661062,234,8.506779704475775e-05
1591340275.9911082,235,8.555995009373873e-05
1591340276.5321083,236,8.41702421894297e-05
1591340277.0641074,237,8.477504161419347e-05
1591340277.5761063,238,8.781274664215744e-05
1591340278.0971391,239,8.589326898800209e-05
1591340278.6121078,240,8.39504282339476e-05
1591340279.1301367,241,8.584241004427895e-05
1591340279.6391082,242,8.481980330543593e-05
1591340280.1581378,243,8.386894478462636e-05
1591340280.6681395,244,8.647356298752129e-05
1591340281.1831079,245,8.595865801908076e-05
1591340281.6971376,246,8.341020293300971e-05
1591340282.2241385,247,8.32119767437689e-05
1591340282.7401445,248,8.460532262688503e-05
1591340283.2461064,249,8.329865522682667e-05
1591340283.7711058,250,8.360265928786248e-05
1591340284.2991364,251,8.47043193061836e-05
1591340284.819108,252,8.266488293884322e-05
1591340285.324105,253,8.42912049847655e-05
1591340285.8481064,254,8.148785127559677e-05
1591340286.3571367,255,8.282536873593926e-05
1591340286.9173837,256,8.343161607626826e-05
1591340287.4264104,257,8.281633927254006e-05
1591340287.9423835,258,8.378277561860159e-05
1591340288.481387,259,8.386663830606267e-05
1591340288.9933863,260,8.293815335491672e-05
1591340289.5153847,261,8.371047442778945e-05
1591340290.0224156,262,8.286030060844496e-05
