Wall time,Step,Value
1588417393.3631258,0,0.07690560072660446
1588417396.1711228,1,0.02722587063908577
1588417398.079118,2,0.024457264691591263
1588417399.959118,3,0.022506019100546837
1588417401.427118,4,0.020140409469604492
1588417402.887119,5,0.01687481813132763
1588417404.367124,6,0.011911440640687943
1588417406.003118,7,0.005571041256189346
1588417407.8111176,8,0.0019313659286126494
1588417409.7631161,9,0.0012775779468938708
1588417411.2151184,10,0.001152407261542976
1588417412.6591218,11,0.0010872153798118234
1588417414.0991158,12,0.001038333517499268
1588417415.5231209,13,0.000994633068330586
1588417416.9551167,14,0.0009528120281174779
1588417418.3951242,15,0.0009131638798862696
1588417419.8391206,16,0.0008745405939407647
1588417421.2911174,17,0.0008431138121522963
1588417422.727116,18,0.0008070570765994489
1588417424.1791215,19,0.0007762465393170714
1588417425.63112,20,0.0007443730137310922
1588417427.0671167,21,0.0007142902468331158
1588417428.5031207,22,0.0006801738636568189
1588417429.9751172,23,0.0006445483886636794
1588417431.4391198,24,0.0006107926019467413
1588417432.88312,25,0.0005732668214477599
1588417434.3271167,26,0.0005432275938801467
1588417435.9111185,27,0.0005124149611219764
1588417437.331117,28,0.0004851885314565152
1588417438.7831168,29,0.00045950646745041013
1588417440.2351158,30,0.00043698324589058757
1588417441.7071173,31,0.00041239176061935723
1588417443.1471171,32,0.000391611538361758
1588417444.599117,33,0.00036896931123919785
1588417446.027119,34,0.0003490581293590367
1588417447.4751182,35,0.0003302135446574539
1588417448.923121,36,0.0003113718412350863
1588417450.4151177,37,0.0002967507462017238
1588417451.859117,38,0.00028202973771840334
1588417453.3311193,39,0.00027181042241863906
1588417454.7791173,40,0.0002603016619104892
1588417456.2391202,41,0.00025100217317231
1588417457.6591172,42,0.00024589482927694917
1588417459.1191192,43,0.00023898006475064903
1588417460.5671196,44,0.00023484270786866546
1588417462.0231204,45,0.00022986254771240056
1588417463.471117,46,0.0002262934431200847
1588417464.9301667,47,0.00022224632266443223
1588417466.518166,48,0.0002179198490921408
1588417467.9621706,49,0.00021409483451861888
1588417469.402168,50,0.00021096547425258905
1588417470.8501673,51,0.00020802438666578382
1588417472.2901688,52,0.00020587287144735456
1588417473.730171,53,0.00020044296979904175
1588417475.1781666,54,0.00019921132479794323
1588417476.622171,55,0.00019544915994629264
1588417478.0541668,56,0.00019232308841310441
1588417479.4941669,57,0.00018958118744194508
1588417480.950167,58,0.00018901113071478903
1588417482.390167,59,0.00018762082618195564
1588417483.8301697,60,0.00018297253700438887
1588417485.2501671,61,0.0001788305671652779
1588417486.7101676,62,0.000178207439603284
1588417488.1501677,63,0.00017576143727637827
1588417489.610171,64,0.00017395534086972475
1588417491.086169,65,0.0001733337267069146
1588417492.5541668,66,0.00017181843577418476
1588417493.9901662,67,0.00016917877655941993
1588417495.4301665,68,0.00017061950347851962
1588417497.0661712,69,0.00016391238023061305
1588417498.5275586,70,0.0001637600944377482
1588417499.963556,71,0.00016236885858234018
1588417501.4515543,72,0.00016152644820977002
1588417502.895552,73,0.00015940282901283354
1588417504.3275523,74,0.00015802269626874477
1588417505.775554,75,0.00015707017155364156
1588417507.235559,76,0.0001549834996694699
1588417508.6715543,77,0.00015343372069764882
1588417510.115559,78,0.0001558128569740802
1588417511.5755532,79,0.00015036322292871773
1588417513.0235565,80,0.00014961836859583855
1588417514.4755607,81,0.00014998206461314112
1588417515.9355578,82,0.00014703864871989936
1588417517.4155583,83,0.000146671271068044
1588417518.8530285,84,0.0001476209727115929
1588417520.2970276,85,0.00014514249050989747
