14,(-10.0,  42.8),0.0,29.5
14,(-10.0,  43.0),0.0,29.41572001753159
15,(-10.0,  43.3),0.0,29.5
17,(-10.0,  43.8),0.0,29.422373547679275
18,(-10.0,  44.2),0.0,27.821572126052775
19,(-10.0,  44.6),0.0,29.5
20,(-10.0,  45.0),0.0,29.5
22,(-10.0,  45.6),0.0,27.723915813916786
23,(-10.0,  46.1),-0.0,26.37886067037242
24,(-10.0,  46.5),0.0,28.750254177994986
25,(-10.0,  47.0),0.0,29.461858214017973
26,(-10.0,  47.7),0.0,28.356906251633575
27,(-10.0,  48.2),0.0,29.5
27,(-10.0,  48.8),0.0,29.5
27,( -9.9,  49.3),0.0,26.326634677253672
27,( -9.9,  49.7),0.0,28.18765189767435
26,( -9.9,  50.4),0.0,26.150274227014204
26,( -9.9,  51.0),-0.0,28.494935414845916
25,( -9.9,  51.7),-0.0,28.505288178672274
24,( -9.9,  52.2),-0.10000000149011612,29.305942829459177
23,( -9.9,  52.7),-0.10000000149011612,25.324456535293777
23,( -9.9,  53.3),0.0,25.961561905825068
22,( -9.9,  53.6),0.0,27.857031169929385
21,( -9.8,  54.1),0.0,25.932350840527704
20,( -9.8,  54.8),0.0,28.933907212691143
20,( -9.8,  55.2),0.0,27.874250415880432
19,( -9.8,  55.5),0.0,29.5
18,( -9.7,  55.9),0.0,29.5
18,( -9.7,  56.3),0.0,25.28509281445348
17,( -9.7,  56.7),0.0,29.5
17,( -9.7,  57.0),0.0,28.838858927585502
16,( -9.7,  57.3),0.0,28.494332852876052
16,( -9.7,  57.8),0.0,24.881044352412616
15,( -9.6,  58.1),0.0,27.55439749143372
15,( -9.6,  58.4),0.0,26.414407398622537
15,( -9.6,  58.6),0.0,24.23824517282452
15,( -9.6,  59.0),0.0,23.298364666292382
14,( -9.6,  59.4),0.0,27.50652197386618
14,( -9.6,  59.7),0.0,27.665147708250835
13,( -9.6,  60.0),0.0,29.5
13,( -9.6,  60.3),0.0,27.959561494972725
12,( -9.5,  60.6),0.10000000149011612,26.999931684300606
12,( -9.5,  60.8),0.10000000149011612,29.5
12,( -9.5,  61.0),0.20000000298023224,29.5
11,( -9.5,  61.4),0.0,26.802530057765352
11,( -9.6,  61.6),0.0,28.315580027748148
11,( -9.6,  61.8),0.0,22.57082330869521
11,( -9.6,  62.0),0.0,25.43515822933942
11,( -9.6,  62.3),0.0,24.342394180186552
11,( -9.6,  62.6),0.0,29.5
11,( -9.6,  62.8),0.0,28.57218740451664
11,( -9.5,  63.1),-0.0,29.5
10,( -9.5,  63.3),-0.10000000149011612,26.482638852962157
10,( -9.5,  63.5),0.0,29.5
10,( -9.5,  63.7),0.0,26.21089231074206
9,( -9.5,  63.9),0.0,29.5
9,( -9.5,  64.1),0.0,25.446112648216147
9,( -9.5,  64.3),0.0,27.06232336530894
9,( -9.5,  64.5),0.0,29.5
9,( -9.5,  64.7),0.0,27.36181340259275
9,( -9.5,  64.9),0.0,29.5
9,( -9.5,  65.1),0.0,28.811174379684505
9,( -9.5,  65.3),0.0,29.5
9,( -9.5,  65.5),0.0,27.048216592013553
9,( -9.5,  65.7),0.0,29.5
8,( -9.5,  65.9),0.0,29.5
8,( -9.5,  66.1),0.0,27.590330784403463
